passage,species1_form,species2_form,interaction_form,triplet_key,doc_id,field
"Ingestion of eggs (ova) of the porcine nematode parasite Trichuris suis (TSO) may reduce the severity of autoimmune disorders, however the development of TSO treatment as a useful therapy for autoimmune diseases is hampered by a lack of knowledge on the development of the parasite and the nature of the local immune responses in humans.",Trichuris suis,humans,Ingestion,ott:912976;ott:770309;RO_e000009,28602842,abstract
"In conclusion, detection of norovirus on environmental surfaces using the protocol we developed may assist in determining the level of environmental contamination during outbreaks as well as detection of virus when clinical samples are not available; it may also facilitate monitoring of effectiveness of remediation strategies.",norovirus,clinical samples,contamination,ncbitaxon_viruses:142786;ott:5203547;RO_e000002,28287539,abstract
"The common occurrence of multiple prophages in L. gasseri genomes, their propensity for spontaneous induction, and the high degree of homology among phages within multiple species of Lactobacillus suggest that temperate bacteriophages likely contribute to horizontal gene transfer (HGT) in commensal lactobacilli.",Lactobacillus,bacteriophages,contribute to,ott:249759;ncbitaxon_viruses:38018;RO_0002326,24682298,abstract
"It has been found that they show different mutation frequencies and spectrums of phenotype induction, however, the characteristics of heavy-ion beams on genetic polymorphism have not been clarified by comparing with γ-rays.Materials and methods: In the present study, seeds of Arabidopsis thaliana were exposed to carbon-ion beams (with linear energy transfer (LET) of 50 keV/μm) and γ-rays (with average LET of 0.2 keV/μm) irradiation.",rays,Arabidopsis thaliana,exposed to,ott:195928;ott:309263;RO_e000044,31692404,abstract
"Two types of fungus are distinguished: -- dermatophytes, which develop in the 4th interdigital space and may become exacerbated.",fungus,dermatophytes,develop in,ott:737448;ott:188805;RO_0002226,7462828,abstract
"For the four tetra-O-substituted resorcin[4]arenes, the ECD exciton couplet at longer wavelength depends on the chirality induced in the arene scaffold by the substituents rather than on the precise nature of the substituents themselves.",tetra-O,arene,depends on,ott:1010577;ott:187129;RO_0002502,27991785,abstract
"As Dactylopiibacterium has not yet been cultured in the laboratory, metagenomes and metatranscriptomics have been key in revealing putative symbiont functions.",Dactylopiibacterium,metagenomes,symbiont,ott:909614;ott:4019068;RO_0002440,39068732,abstract
"Bovine fecal samples were decontaminated with NaOH, exposed to a mixture of oxalic acid and malachite green, incubated in a mixture of neomycin and amphotericin B. Decontaminated specimens were inoculated onto modified Löwenstein-Jensen medium.",Bovine,malachite,exposed to,ott:490099;ott:634339;RO_e000044,10424651,abstract
The effect of Rochalimaea species on human umbilical vein endothelial cell (HUVEC) proliferation and migration was evaluated in vitro.,Rochalimaea,human,migration,ott:50847;ott:770315;RO_e000046,7523553,abstract
Results suggest that the 1500 and 2000 ppm hydrogen peroxide concentrations are effective in reducing sea lice infestation on cage-cultured snubnose pompano.,lice,snubnose pompano,infestation,ott:779649;ott:648706;RO_e000005,38889669,abstract
"Concurrently, localized outbreaks of the coral-killing cyanobacteriosponge Terpios hoshinota displayed a remarkable symbiosis with filamentous cyanobacteria, which supported the rapid overgrowth of massive coral colonies and allowed the sponge to colonize substrate types from which it has not been documented before.",Terpios hoshinota,cyanobacteria,symbiosis,ott:2839331;ott:225495;RO_0002440,23056381,abstract
"Recently, a set of publications described flea fossils from Jurassic and Early Cretaceous geological strata in northeastern China, which were suggested to have parasitized feathered dinosaurs, pterosaurs, and early birds or mammals.",strata,birds,parasitized,ott:3609890;ott:81461;RO_0002445,26754250,abstract
"However, enrichment of PBS suspension containing raccoon feces in tryptic soy broth containing cefixime, tellurite, and deoxycholate (CTD-TSB), the selective medium developed in this study, remarkably improved the isolation efficiency (up to 48%) of E. albertii. CONCLUSIONS CTD-TSB is a useful enrichment culture medium for E. albertii and contributes to increase its isolation rate.",raccoon,enrichment culture,contributes to,ott:348040;ott:5561585;RO_0002326,37370227,abstract
"In grass-fed cattle liver abscesses were 0.2%, telangiectasis 1.0%, E. granulosis 18.9%, F. hepatica 5.4%, unclassified lesions 6.5%, and contamination 1.0%.",cattle,unclassified,contamination,ott:1066581;ott:4019065;RO_e000002,6891898,abstract
"Wheat stem rust, P. graminis f. sp. tritici, was shown to infect 74 species in 34 genera in artificial inoculations of seedlings, but only 28 of those species belonging to eight genera were known to be natural hosts of the fungus.",Wheat stem rust,fungus,hosts of,ott:665704;ott:737448;RO_0002453,20565642,abstract
Epidemiology and drug resistance among Candida pathogens in Africa: Candida auris could now be leading the pack.,Candida,Candida auris,pathogens,ott:1034970;ott:271373;RO_0002556,39317220,title
DESIGN Naive Bos taurus calves were treated with either pour-on or injectable formulations of either ivermectin or moxidectin and then exposed to larvae of B microplus infected with B bovis or larvae or adults of B microplus infected with B bigemina.,Bos taurus,microplus,exposed to,ott:490099;ott:1050135;RO_e000044,10590793,abstract
"In addition, Nitzschia cells were aggregates attached to Microcystis colonies in all the treatments.",Nitzschia,Microcystis,attached to,ott:339619;ott:4957254;RO_0002371,38374275,abstract
Honeybee Pollinators Use Visual and Floral Scent Cues to Find Apple (Malus domestica) Flowers.,Honeybee,Malus domestica,Pollinators,ott:461645;ott:3902985;RO_0002455,31682121,title
"Here we report that potato chloroplast elongation factors StTuA and StTuB, targeted by Phytophthora infestans RXLR effector Pi22926, positively regulate immunity and growth.",chloroplast,Phytophthora infestans,positively regulate,ott:5268918;ott:775725;RO_0002213,39300323,abstract
Glucose-nonfermenting gram-negative bacilli (NFB) have been recognized recently as opportunistic pathogens of humans.,bacilli,humans,pathogens of,ott:634420;ott:770309;RO_0002556,7107835,abstract
"Blue-green algae appear to be obvious precursors of red algal chloroplasts but the ancestry of other chloroplasts is less certain, though the epizoic symbiont, Prochloron, may resemble the ancestral green algal chloroplast.",Prochloron,chloroplast,symbiont,ott:771081;ott:5268918;RO_0002440,36620,abstract
"Metazoan parasites of sika deer from east Hokkaido, Japan and ecological analyses of their abomasal nematodes.",sika deer,nematodes,parasites of,ott:754809;ott:495399;RO_0002444,9131559,title
"Parasites of the orangebelly darter, Etheostoma radiosum (Pisces: Percidae).",Etheostoma radiosum,Pisces,Parasites of,ott:378455;ott:5673746;RO_0002444,5105976,title
"BACKGROUND Herbaspirillum seropedicae is a diazotrophic bacterium from the β-proteobacteria class that colonizes endophytically important gramineous species, promotes their growth through phytohormone-dependent stimulation and can express nif genes and fix nitrogen inside plant tissues.",Herbaspirillum seropedicae,proteobacteria,colonizes,ott:956156;ott:5252432;RO_e000053,32039705,abstract
"In this study, we tested the ability of Lactobacillus casei strains to prevent invasion of bMEC by two S. aureus bovine strains, RF122 and Newbould305, which reproducibly induce acute and moderate mastitis, respectively.",Lactobacillus casei,bovine,invasion,ott:911914;ott:490099;RO_e000045,23183972,abstract
"Shoot and root litter from each plant was placed in cheatgrass, spotted knapweed, and leafy spurge invasions as well as remnant native communities in a fully reciprocal design for 6 months to see whether decomposer communities were species-specific, and whether litter decomposed fastest when placed in a community composed of its own species (referred to hereafter as home-field advantage-HFA).",cheatgrass,leafy spurge,invasions,ott:188833;ott:864028;RO_e000045,29299295,abstract
By application of 13C-labeled dimethyl sulfoxide (DMSO) onto the leaves of tobacco plants (Nicotiana tabacum) and Chinese silver grass (Miscanthus sinensis) the effect of light and dark conditions on CH4 formation of this pathway was examined by monitoring stable carbon isotope ratios of headspace CH4 (δ13C-CH4 values).Both plant species showed increasing headspace δ13C-CH4 values while exposed to light.,tobacco,Miscanthus sinensis,exposed to,ott:222787;ott:764796;RO_e000044,37284426,abstract
Three homopteran pests of citrus as prey for the convergent lady beetle: suitability and preference.,citrus,convergent lady beetle,prey,ott:929678;ott:84739;RO_0002458,22217767,title
"1,8-Dihydroxynaphthalene (1,8-DHN) is a fungal polyketide that contributes to virulence when polymerized to 1,8-DHN melanin in the cell walls of Wangiella dermatitidis, an agent of phaeohyphomycosis in humans.",Wangiella dermatitidis,humans,contributes to,ott:129117;ott:770309;RO_0002326,11179356,abstract
"Prevalence of contamination by intestinal parasites in vegetables (Lactuca sativa L. and Coriandrum sativum L.) sold in markets in Belém, northern Brazil.",Lactuca sativa,Coriandrum sativum,contamination,ott:515700;ott:2476;RO_e000002,31953861,title
"VENOSA4, a Human dNTPase SAMHD1 Homolog, Contributes to Chloroplast Development and Abiotic Stress Tolerance.",Human,Chloroplast,Contributes to,ott:770315;ott:5268918;RO_0002326,31792148,title
"The PANI@CNT sponge enriches the exoelectrogen Geobacter significantly, and is proved to play the role of conductive pili in direct electron transfer as it down-regulates the gene encoding pilA.",Geobacter,pilA,regulates,ott:492991;ott:318333;RO_0002211,37632311,abstract
"In this study, microbial metagenomes from symbionts of the marine bone-dwelling worm Osedax mucofloris, and from microbial biofilms growing on experimentally deployed bone surfaces were screened for specialized bone-degrading enzymes.",metagenomes,Osedax mucofloris,symbionts of,ott:4019068;ott:254432;RO_0002440,34938409,abstract
Well-fed puma (1-2 days between kills) strongly avoided residential patches despite these areas having higher mule deer (Odocoileus hemionus) densities and higher kill success for puma.,puma,mule deer,kills,ott:86161;ott:410149;RO_0002626,29652091,abstract
"The vectors had fed on 10 additional vertebrates with a variety of relationships to humans, including companion animal (dog), food animals (pig, sheep/goat), wild animals (duck, two bat, two opossum species) and commensal animals (mouse, rat).",humans,opossum,fed on,ott:770309;ott:835327;RO_e000007,25211347,abstract
"Bacterial interactions with PGs may also facilitate cell invasion or systemic dissemination, as observed for Neisseria gonorrhoeae and Mycobacterium tuberculosis respectively.",Neisseria gonorrhoeae,Mycobacterium tuberculosis,invasion,ott:286811;ott:604112;RO_e000045,11971262,abstract
"Our study revealed the diversity of phage communities in giant pandas and other relative species, contributing to the health maintenance of giant pandas and laying the groundwork for molecular evolution research of bacteriophages in mammals.",bacteriophages,mammals,contributing to,ncbitaxon_viruses:38018;ott:244265;RO_0002326,37272702,abstract
"In this study, Ligustrum lucidum and Melia azedarach were planted in soils with simulated varying levels of Pb-Zn contamination.",Ligustrum lucidum,Melia azedarach,contamination,ott:300838;ott:916052;RO_e000002,38986409,abstract
"Sheep fed on sorghum silage showed a decrease (p < 0.01) in total protozoa, and particularly in the Entodiniae population.",sorghum,protozoa,fed on,ott:553001;ott:4796809;RO_e000007,33864304,abstract
Maize (Zea mays) pollen is highly nutritious and can be used by predatory arthropods to supplement or replace a carnivorous diet.,Zea mays,arthropods,predatory,ott:605194;ott:632179;RO_0002439,25082074,abstract
"Brucella ceti, a zoonotic pathogen of major concern to cetacean health and conservation, is responsible for severe meningo-encephalitic/myelitic lesions in striped dolphins (Stenella coeruleoalba), often leading to their stranding and death.",Brucella ceti,Stenella coeruleoalba,pathogen of,ott:559983;ott:124224;RO_0002556,35625150,abstract
The repellent activity of eugenol was evaluated on Rhipicephalus microplus and Dermacentor nitens larvae in a bioassay based on the vertical migration of these tick larvae during the host-seek phase.,Rhipicephalus microplus,Dermacentor nitens,migration,ott:621053;ott:688419;RO_e000046,23636308,abstract
"The prevalence and anti-microbial properties of Actinobacteria associated with these two solitary wasp species suggest the potential role of these Streptomyces as antibiotic-producing symbionts, potentially helping defend their wasp hosts from pathogenic microbes.",solitary wasp,Streptomyces,symbionts,ott:206141;ott:772892;RO_0002440,21364940,abstract
Rattus rattus is the main rodent host of Yersinia pestis in these localities.,Rattus rattus,Yersinia pestis,host of,ott:271571;ott:857207;RO_0002453,20158335,abstract
"Since C. complanatus is currently known as a highly specific phoront of right whales (Eubalaena spp.), we propose that the late Middle Pleistocene human groups that inhabited PP13B fed on a stranded southern right whale.",human,southern right whale,fed on,ott:770315;ott:699249;RO_e000007,28264299,abstract
"While all three protozoa internalized EcO157, only Platyophyra and Colpoda acted as predators.",protozoa,Colpoda,predators,ott:4796809;ott:129112;RO_0002439,21187934,abstract
"These findings indicate that even though turkeys and swine grown in proximity to each other were commonly colonized with thermophilic campylobacters, the relative prevalences of C. jejuni and C. coli appear to be host associated.",turkeys,swine,colonized,ott:728070;ott:730013;RO_e000053,18810862,abstract
Low-temperature interstellar analog ices composed of ammonia and methylamine were exposed to energetic electrons which act as proxies for secondary electrons produced in the track of galactic cosmic rays.,ammonia,rays,exposed to,ott:158522;ott:195928;RO_e000044,36508671,abstract
"The recent invasion of the horseshoe whip snake Hemorrhois hippocrepis on the island of Ibiza provides the opportunity to compare natural history traits between invasive and source populations, and to unravel what makes this snake a successful invader that is threatening the only endemic vertebrate of the island, Podarcis pityusensis.",Hemorrhois hippocrepis,Podarcis pityusensis,invasion,ott:1053210;ott:24281;RO_e000045,32617085,abstract
"We have demonstrated that HIRA complex regulates male pronucleus formation in mice and is implicated in humans, that both CABIN1 and UBN1 components of the HIRA complex are equally essential for male pronucleus formation, and that rescue is feasible.",HIRA,humans,regulates,ott:5806809;ott:770309;RO_0002211,33835048,abstract
"However, both female and male fish exposed to effluents showed significantly higher concentrations of plasma VTG, so more in fish exposed to Eucalyptus-based effluent when compared to Pinus PPME.",Eucalyptus,Pinus,exposed to,ott:1015498;ott:771683;RO_e000044,25956323,abstract
"However, the labeled 48-day withdrawal period for human consumption largely prevented utilization of this strategy targeting I. scapularis in autumn, when peak adult host-seeking activity coincides with regulated white-tailed deer hunting seasons.",human,white-tailed deer,hunting,ott:770315;ott:410145;RO_e000011,37208791,abstract
"Maize (Zea mays L.) is a crop of global importance, but prone to contamination by aflatoxins produced by fungi in the genus Aspergillus.",Zea mays,Aspergillus,contamination,ott:605194;ott:550772;RO_e000002,26090679,abstract
"Notably, Bombus and Lasioglossum (Dialictus), were two important pollinator groups negatively affected by urbanization.",Bombus,Dialictus,affected by,ott:61351;ott:985419;RO_e000056,31790482,abstract
"We show that while pesticide application cannot predict amphibian or reptile diversity patterns in cocoa plantations, our experimental exposure to herbicides and insecticides in vegetable gardens eliminated amphibians, whereas reptiles were less impacted by insecticide and not affected by herbicide exposure.",cocoa,amphibians,affected by,ott:388185;ott:544595;RO_e000056,36967985,abstract
"One of these, Scolytus piceae Swaine (Coleoptera: Curculionidae), infests spruces across the continent including Picea engelmannii Parry (Pinaceae) in Idaho.",Scolytus piceae,Picea engelmannii,infests,ott:5824852;ott:248427;RO_e000006,28369216,abstract
"To study larval performance and transcriptomic responses to host and non-host plants, we conducted developmental assays and replicated RNAseq experiments with Manduca larvae fed on different Solanaceous plants as well as on a Brassicaceous non-host plant, Brassica napus.",Manduca,Brassica napus,fed on,ott:845197;ott:309234;RO_e000007,26070471,abstract
"The effect on indirect defense was assessed using behavior assays with the specialist predatory mite Phytoseiulus persimilis in an olfactometer, headspace analysis of 11 major herbivore-induced plant volatiles (HIPVs) including (E)-β-ocimene, and transcript levels of the corresponding gene Phaseolus lunatus (E)-β-ocimene synthase (PlOS).",Phytoseiulus persimilis,Phaseolus lunatus,predatory,ott:920920;ott:989229;RO_0002439,25244951,abstract
Sequences of partial 28S rDNA obtained for nine species of Anacanthorus and Mymarothecium viatorum parasitizing serrasalmids and the published sequences of other members of the Dactylogyridae were included in the phylogenetic reconstruction.,Anacanthorus,Mymarothecium viatorum,parasitizing,ott:6366827;ott:3669926;RO_0002445,31335315,abstract
"The recombinant B. abortus protein, expressed in Escherichia coli, and the corresponding Brucella melitensis protein migrated at the same apparent molecular masses as shown by Western blotting (immunoblotting).",Escherichia coli,Brucella melitensis,migrated,ott:474506;ott:1054415;RO_e000046,7664168,abstract
"The aim of this in vitro study was to evaluate the effect of repeated doses of two Okoubaka products (10 % ethanolic tincture, mother tincture (MT); 3rd decimal potency, 3X) on the microbial activity of physiological human colon microbiota using a Simulator of the Human Intestinal Microbial Ecosystem (SHIME®) and to investigate any preventive effect against infections with diarrhea-causing pathogens.",Okoubaka,Human,pathogens,ott:1020252;ott:770315;RO_0002556,33979845,abstract
An inoculum that did not produce mycorrhizas at any application rate did contain a fungus tentatively identified as a root pathogen (Olpidium brassicae) that colonized the corn roots.,fungus,Olpidium brassicae,colonized,ott:737448;ott:41889;RO_e000053,17938974,abstract
"To investigate the possibility that this may contribute to increased susceptibility to infection, we compared the immunoreactivity of glycated and nonglycated human immunoglobulins against rubella and hepatitis; streptococcal exoenzyme and infectious mononucleosis; human lymphocytotoxic antigens (HLA); and Varicella zoster in terms of antigen-antibody binding, cell agglutination, cytotoxicity, and complement-fixation properties, respectively.",human,Varicella,contribute to,ott:770315;ott:2882396;RO_0002326,2543516,abstract
"The assay was used to quantify R. solani AG-3 populations in pathogen-infested field soils after temporary flooding rotation, a practice found to be effective for reducing Sclerotinia sclerotiorum and R. solani AG-3 in potatoes in growth chamber studies.",Sclerotinia sclerotiorum,potatoes,infested,ott:880963;ott:494835;RO_e000005,32272177,abstract
"We also documented a triple co-infestation of 3 tick species (Ixodes angustus, I. pacificus , I. spinipalpis) feeding on an eastern cottontail.",Ixodes angustus,eastern cottontail,infestation,ott:563396;ott:864591;RO_e000005,27835071,abstract
Infection experiments with a fungus (coelomomyces) which kills malarial mosquitoes.,fungus,coelomomyces,kills,ott:737448;ott:443988;RO_0002626,17749084,title
"Collectively, these results imply that O-GlcNAc protein modification regulates the accumulation of PilA via a posttranscriptional mechanism in developing hormogonia.IMPORTANCE Filamentous cyanobacteria are among the most developmentally complex prokaryotes.",PilA,cyanobacteria,regulates,ott:318333;ott:225495;RO_0002211,28242721,abstract
Strawberry (Fragaria X ananassa Duch.) yield as affected by the soil pH.,Strawberry,Fragaria X ananassa,affected by,ott:7565877;ott:3904118;RO_e000056,19488630,title
"LhnR and upstream operon LhnABC in Agrobacterium vitis regulate the induction of tobacco hypersensitive responses, grape necrosis and swarming motility.",Agrobacterium vitis,tobacco,regulate,ott:263879;ott:222787;RO_0002211,22212449,title
"The effects of different remediation treatments, including nitrogen addition, Suaeda salsa planting, and arbuscular mycorrhiza (AM) fungi inoculation individually or combined, on crude oil contaminated saline soil were assessed using a microcosm experiment.",Suaeda salsa,fungi,contaminated,ott:374047;ott:352914;RO_e000001,25240723,abstract
"We present new data for numerous Schisandraceae, the largest ANITA family, from fieldwork, nocturnal filming, electron microscopy, barcoding and molecular clocks to infer pollinator/plant interactions over multiple years at sites throughout China to test the extent of pollinator specificity.",Schisandraceae,ANITA,pollinator,ott:1022517;ott:180712;RO_0002455,29298936,abstract
There was neither seroconversion nor viremia in control bats kept in close contact with MARV-infected bats infested with fleas for up to 40 days post-exposure.,bats,fleas,infested,ott:574724;ott:656313;RO_e000005,39205171,abstract
Relatively high PCB concentrations were discovered in some great black-backed gulls (Larus marinus) and ringed seals (Phoca hispida) but appear to relate more to their high trophic level than sampling location.,Larus marinus,Phoca hispida,trophic,ott:887691;ott:175251;RO_0002438,16085280,abstract
High frequency of reactive arthritis in adults after Yersinia pseudotuberculosis O:1 outbreak caused by contaminated grated carrots.,Yersinia pseudotuberculosis,carrots,contaminated,ott:857222;ott:372836;RO_e000001,23852698,title
Microsporidia of the genus Dictyocoela are parasites of gammarid amphipod Crustacea.,Dictyocoela,Crustacea,parasites of,ott:453540;ott:632176;RO_0002444,21683081,abstract
Delineation of Pb contamination pathways in two Pectinidae: the variegated scallop Chlamys varia and the king scallop Pecten maximus.,Chlamys varia,Pecten maximus,contamination,ott:827423;ott:449048;RO_e000002,19275952,title
"However, low antibody titers in two animals indicate that this European bison population has been exposed to BVD virus or BVD-like viruses and BoHV-2.",European bison,viruses,exposed to,ott:907684;ncbitaxon_viruses:10239;RO_e000044,12238370,abstract
"To determine how each new generation of the sea urchin cardinalfish Siphamia versicolor acquires the symbiotic luminous bacterium Photobacterium mandapamensis, and when in its development the S. versicolor initiates the symbiosis, procedures were established for rearing S. versicolor larvae in an aposymbiotic state.",sea urchin cardinalfish,Photobacterium mandapamensis,symbiosis,ott:747397;ott:229359;RO_0002440,22957874,abstract
"Oviposition deterrents in the frass of cotton bollworm (CBW), Helicoverpa armigera larvae fed on an artificial diet (FA) and on cotton Gossypium hirsutum leaves (FC) were investigated by behavioral bioassays and electroantennography analyses in the laboratory.",cotton bollworm,Gossypium hirsutum,fed on,ott:1058341;ott:854480;RO_e000007,16388821,abstract
"Taken together, our data indicate that the σ-dependent network responsible for the expression of class II pilE has been selected to maintain pilE expression, consistent with the essential roles of Tfp in colonization and pathogenesis.IMPORTANCE The type four pilus (Tfp) of Neisseria meningitidis contributes to fundamental processes such as adhesion, transformation, and disease pathology.",pilus,Neisseria meningitidis,contributes to,ott:2886402;ott:611778;RO_0002326,31331980,abstract
"Evaluation of short-term copper toxicity in a co-culture of Synechococcus sp., Chaetoceros gracilis and Pleurochrisys cf. roscoffensis exposed to changes in temperature and salinity levels.",Synechococcus sp,Chaetoceros gracilis,exposed to,ott:5254204;ott:746543;RO_e000044,38307328,title
The phytopathogenic Gram-negative bacterium Dickeya dadantii (Erwinia chrysanthemi) feeds on plant cell walls by secreting pectinases and utilizing the oligogalacturanate products.,Dickeya dadantii,Erwinia chrysanthemi,feeds on,ott:54293;ott:291472;RO_e000007,24914987,abstract
Pseudorabies virus and equine herpesvirus 1 share a nonessential gene which is absent in other herpesviruses and located adjacent to a highly conserved gene cluster.,Pseudorabies virus,equine,adjacent to,ncbitaxon_viruses:10345;ott:1068218;RO_e000027,7637001,title
"Baylisascaris potosis-infected gerbils showed no clinical signs of disease; however, gerbils exposed to 1,000 and 4,000 B. transfuga eggs showed severe neurologic signs at 22-29 days and 14-15 days pi, respectively.",Baylisascaris potosis,gerbils,exposed to,ott:5475767;ott:764837;RO_e000044,25014190,abstract
"METHODS Zebrafish were exposed to control (pH 8.0) or acidic (pH 4.0) water for 0-12 hours during which 22 Na+ uptake ( ), ammonia excretion, net acidic equivalent flux and net K+ flux ( ) were measured.",Zebrafish,ammonia,exposed to,ott:1005914;ott:4537297;RO_e000044,34985194,abstract
"Together, these observations demonstrate that yatapoxvirus K3 orthologs have distinct PKR inhibition profiles and inhibit PKR in a species-specific manner, which may contribute to the differential susceptibility of primate species to yatapoxvirus infections.",yatapoxvirus,primate,contribute to,ncbitaxon_viruses:10282;ott:913935;RO_0002326,39066257,abstract
"In this study, we investigated the intra- and interspecific interactions and their contribution to growth inhibition in the patches of Pistacia trees and Amygdalus shrubs in semi-arid woodland communities through the implementation of photogrammetric data provided by unmanned aerial vehicle (UAV).",Pistacia,Amygdalus,interspecific interactions,ott:200790;ott:731578;RO_e000017,33954804,abstract
"There was a difference in species hunted between seasons, peccaries being more frequently hunted during the dry season and in contrast, deer and wild avian during the rainy season.",peccaries,avian,hunted,ott:730004;ott:81461;RO_e000012,27055652,abstract
"Our findings support the hypothesis that dominant native ants can serve as barriers against Argentine ant invasion in citrus ecosystems, highlighting the importance of interspecific competition in shaping community dynamics and invasive species management.",Argentine ant,citrus,invasion,ott:1021480;ott:929678;RO_e000045,38786889,abstract
Olea europaea leaf extract and bevacizumab synergistically exhibit beneficial efficacy upon human glioblastoma cancer stem cells through reducing angiogenesis and invasion in vitro.,Olea europaea,human,invasion,ott:23729;ott:770315;RO_e000045,28419967,title
"To gain further insights into the understanding of the intein invasion process in mycobacteria, intein sequences in the gyrA gene of 42 mycobacterial strains were searched and a new gyrA intein was found in Mycobacterium gastri (Mga).",gyrA,Mycobacterium gastri,invasion,ott:1098799;ott:241059;RO_e000045,11707281,abstract
Size-selective feeding on phytoplankton by two morpho-groups of the small freshwater fish Amblypharyngodon mola.,morpho,Amblypharyngodon mola,feeding on,ott:112773;ott:728231;RO_e000007,26084383,title
"We document a new symbiosis between marine polychaetes of the genus Osedax and members of the bacterial group Oceanospirillales, known for heterotrophic degradation of complex organic compounds.",Osedax,Oceanospirillales,symbiosis,ott:631829;ott:193053;RO_0002440,16104860,abstract
Health care's main mantra migrates to the auto industry.,care's,mantra,migrates,ott:338049;ott:2949405;RO_e000046,8541898,title
"From comparisons with other oomycete plant pathogens and other chromalveolates, we reveal independent loss of molybdenum-cofactor-requiring enzymes in downy mildews, white rusts, and the malaria parasite P. falciparum.",rusts,malaria parasite P. falciparum,pathogens,ott:234865;ott:201128;RO_0002556,21750662,abstract
Eighty-nine R factors were transmitted by conjugation to Escherichia coli K12 from isolates of Proteus hauseri (P.,Escherichia coli K12,Proteus hauseri,transmitted by,ott:232554;ott:547182;RO_0002451,1095684,abstract
"Background The genus Phyllothelys Wood-Mason, 1876 (Mantodea, Hymenopodidae) includes 22 species, with China being a major diversity hotspot, hosting 15 species in four groups.",Phyllothelys,Hymenopodidae,hosting,ott:187693;ott:414606;RO_0002453,39399757,abstract
[Cattle as intermediate hosts of cystoisospora felis].,Cattle,cystoisospora felis,hosts of,ott:1066581;ott:616976;RO_0002453,7406833,title
"In barley transgenic lines overexpressing PNPi, we observed reduced induction of multiple PR genes in the region adjacent to Pseudomonas syringae pv. tomato DC3000 infection.",barley,Pseudomonas syringae pv. tomato DC3000,adjacent to,ott:657948;ott:341792;RO_e000027,27898286,abstract
"Furthermore, no apparent oxidative damage was observed in the enzyme-modified comet assay in any of the tissues examined of rats exposed to oregano essential oil for 90 days.",comet,oregano,exposed to,ott:774815;ott:305918;RO_e000044,29537935,abstract
Our findings suggest that Plateau pikas represent a natural mammalian host to H9N2 AIVs and may play a role in the ongoing circulation of H9N2 viruses at Qinghai Lake in China.,pikas,H9N2,host to,ott:644239;ncbitaxon_viruses:102796;RO_0002453,25069623,abstract
"This article accommodates critical discussions on the bacterial infection mode, dynamics of nodulation, components of symbiotic signalling pathway, and also the effects of abiotic stresses and phytohormone homeostasis related to the root nodule symbiosis of groundnut and Bradyrhizobium.",groundnut,Bradyrhizobium,symbiosis,ott:39541;ott:263917;RO_0002440,32093403,abstract
"Following capture by the cuttlefish Sepia officinalis , crabs are manipulated by active movements of all eight arms to facilitate prey paralysis and ingestion.",Sepia officinalis,paralysis,prey,ott:528817;ott:5326911;RO_0002458,24896909,abstract
"In the Baltic Sea ecosystem reproductive disorders have occurred in top consumers such as seals and some fish-eating birds, due to biomagnification of toxic substances, e.g. DDT and PCBs.",seals,birds,eating,ott:749626;ott:81461;RO_0002470,11697252,abstract
"However, the posttransplant survival of patients with MDR pathogens, specifically pan-resistant Achromobacter xylosoxidans and Stenotrophomonas maltophilia, is poorly characterized.",Achromobacter xylosoxidans,Stenotrophomonas maltophilia,pathogens,ott:764035;ott:433504;RO_0002556,25856407,abstract
"Evaluation of Sanitizing Methods for Reducing Microbial Contamination on Fresh Strawberry, Cherry Tomato, and Red Bayberry.",Strawberry,Cherry Tomato,Contamination,ott:7565877;ott:640492;RO_e000002,29259594,title
japonica inhibits the degradation of proteoglycan and collagen through the down regulation of MMP-3 and MMP-13 expression and activities without affecting the viability or morphology of IL-1alpha-stimulated rabbit articular cartilage explants.,japonica,rabbit,affecting,ott:821244;ott:864596;RO_e000055,16819179,abstract
"Furthermore, several GmCRKs were induced with PAMPs, DAMPs and the pathogens Phakopsora pachyrhizi and Phytophthora sojae.",Phakopsora pachyrhizi,Phytophthora sojae,pathogens,ott:865791;ott:740156;RO_0002556,30440039,abstract
Balaenid whales feed on large aggregates of small and slow-moving prey (predominantly copepods) through a filtration process enabled by baleen.,whales,copepods,prey,ott:698424;ott:461528;RO_0002458,28399142,abstract
"(1) For all species, filtration occurred at concentrations far below those reported by other authors for Rana sylvatica feeding on Chlorella pyrenoidosa.",Rana sylvatica,Chlorella pyrenoidosa,feeding on,ott:4133610;ott:972586;RO_e000007,28312552,abstract
"We previously reported fatal infection of a captive Bornean orangutan with metacestodes of a novel taeniid tapeworm, Versteria sp. New data implicate mustelids as definitive hosts of these tapeworms in North America.",Bornean orangutan,Versteria,hosts of,ott:770302;ott:5316100;RO_0002453,26983004,abstract
"Desulfovibrio desulfuricans is sulfate-reducing, Gram-negative bacterium that is supposed to be opportunistic pathogens of humans and animals.",Desulfovibrio desulfuricans,humans,pathogens of,ott:37162;ott:770309;RO_0002556,20978743,abstract
"The yellowtail clownfish Amphiprion clarkii possesses species-specific characteristics such as inter-species co-habitation, high intra-species color variation, no anemone specificity, and a broad geographic distribution, that can increase our understanding of anemonefish evolutionary history, behavioral strategies, fish-anemone symbiosis, and color pattern evolution.",yellowtail clownfish,anemone,symbiosis,ott:674637;ott:385038;RO_0002440,36626199,abstract
